tc,area,pop,pden,wden,urb,paper,glass,metal,plastic,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill
502.25,283.75,22648,79.81674194,119671.4766,2,4.363508426,3.592507782,0.462317085,1.131815174,20396261,13560520,33956781,60.07,3,285,33.10504913,15.23353004
228.0500031,34.43999863,4952,143.7863007,70030.98438,3,9.887817197,9.51835238,1.86096497,4.643622555,1831407,580460,2411867,75.93,3,11,33.10504913,15.23353004
268.0100098,26.62000084,3895,146.3185577,81116.52344,3,11.99107868,6.653014233,0.744724501,5.224834462,1694922,464400,2159322,78.49,3,49,33.10504913,15.23353004
199.0899963,84.30000305,7140,84.69750214,43320.46094,3,9.762877833,7.551380577,0.746539829,5.202530727,2881055,770860,3651915,78.89,3,165,33.10504913,15.23353004
233.6399994,35.70000076,12193,341.5406189,201565.2656,2,6.601569231,4.334883294,0.103100663,5.120555095,3026700,4169180,7195880,42.06,1,60,4.046452045,45.41190338
232.5099945,108.3399963,3003,27.71829605,15530.99512,3,6.625885222,7.254128661,0.661405848,4.625502488,1333008,349620,1682628,79.22,3,65,33.10504913,15.23353004
560.7800293,153.8300018,11793,76.66255188,98651.64063,2,9.407579887,10.69114845,1.613262674,4.014343569,9516062,5659520,15175582,62.71,3,77,9.898176193,11.29678535
295.3299866,2.069999933,2861,1382.12561,750622.75,2,9.548915586,9.531023839,1.39407603,6.997089051,1257309,296480,1553789,80.92,3,17,0,16.86346436
82.83999634,42.33000183,5488,129.647995,38430.02344,3,11.99021603,12.43712129,2.487485731,10.18452208,1261098,365645,1626743,77.52,3,16,9.898176193,11.29678535
411.7900085,5.389999866,5154,956.21521,759936.75,2,10.39096361,7.69266263,1.250348201,6.970114444,2243519,1852540,4096059,54.77,3,22,0,16.86346436
115.9499969,66.83000183,10640,159.2099304,68342.58594,2,12.5955289,9.98928259,2.224820382,6.270527561,3736170,831165,4567335,81.8,3,10,9.898176193,11.29678535
211.8899994,173.3399963,6453,37.22741699,20531.95508,3,8.113354026,7.633585641,1.251781044,5.02004912,2749039,809970,3559009,77.24,3,107,33.10504913,15.23353004
116.8799973,85.80000305,1963,22.87878799,11656.41016,3,10.00029996,11.17565892,1.223853138,7.050653922,500005,480845,980850,50.98,3,13,17.46755028,4.897195816
122.1900024,29.17000008,13409,459.6846008,222504.1094,2,11.56846719,7.206824802,0.868353403,5.756539035,3482594,2874246,6356840,54.78,3,79,17.46755028,4.897195816
452.6000061,96.40000153,24479,253.9315338,306013.9688,2,10.51381863,11.01105338,1.775943984,3.060307498,17786348,11713400,29499748,60.29,3,324,9.898176193,11.29678535
191.2700043,85.09999847,202123,2375.123535,1159398.75,1,10.51049295,5.562251514,0.99720032,4.053359237,41642307,53991539,95633846,43.54,3,381,17.46755028,4.897195816
208.3200073,116.1800003,9519,81.93320465,36124.46094,3,9.079043303,8.750661196,1.964836285,5.210772611,3162140,1034800,4196940,75.34,3,242,33.10504913,15.23353004
186.6900024,95.44999695,12689,132.9387207,76984.73438,3,9.336036764,10.10515102,1.932556752,2.823496879,5537373,1810820,7348193,75.36,3,368,9.898176193,11.29678535
405.0499878,13.32999992,3826,287.021759,236400.6719,3,4.28767135,1.612263945,1.719365287,1.838112909,723991,2427230,3151221,22.97,2,25,12.07579041,31.49303818
742,15.71000004,6447,410.3755493,1099915.375,2,6.431835421,0.197746821,0.328594219,0.02673662,10361279,6612992,16974271,61.04,3,215,17.46755028,4.897195816
325.8599854,44.70999908,13162,294.3860474,433736.75,3,7.349333784,9.042535801,1.565430115,2.629730146,14541390,4850980,19392370,74.99,3,164,9.898176193,11.29678535
136.0399933,22.10000038,6213,281.1312256,113649.3203,3,15.04190472,14.34917285,6.141620051,3.965441045,2263730,247920,2511650,90.13,3,180,9.898176193,11.29678535
256.5499878,128.0200043,8026,62.69332886,32407.19336,2,16.00956814,12.43356764,0.979085603,9.165128259,3238329,806880,4045209,80.05,1,200,8.904969215,39.5241394
267.3399963,187.9100037,49735,264.6745605,154361.0625,2,11.12166947,12.12384188,1.875712762,3.572093582,19138487,9867500,29005987,65.98,3,181,9.898176193,11.29678535
823.9000244,9.18999958,7660,833.5147095,1143631.875,2,10.86003431,9.270906042,1.007328656,4.406185133,8282916,2227060,10509976,78.81,2,78.77999878,12.07579041,31.49303818
